CG beads number:   49,  the thread number:   16
thread:  1,  CNa = 0.000000,  CMg = 0.000000, t0 = 31.000000
thread: 8,  step: 16000,     T: 78.0,    Energy: 23.475622 kcal/mol
thread: 2,  step: 22000,     T: 37.0,    Energy: 42.252293 kcal/mol
thread: 5,  step: 22000,     T: 55.0,    Energy: 12.392746 kcal/mol
thread: 4,  step: 19000,     T: 49.0,    Energy: 24.169750 kcal/mol
thread: 6,  step: 19000,     T: 63.0,    Energy: 33.421379 kcal/mol
thread: 10,  step: 18000,     T: 94.0,    Energy: 25.171078 kcal/mol
thread: 14,  step: 20000,     T:130.0,    Energy: 24.793438 kcal/mol
thread: 13,  step: 20000,     T:120.0,    Energy: 32.657585 kcal/mol
thread: 0,  step: 21000,     T: 25.0,    Energy: 17.882954 kcal/mol
thread: 11,  step: 17000,     T:102.0,    Energy: 29.556944 kcal/mol
thread: 7,  step: 23000,     T: 71.0,    Energy: 18.909716 kcal/mol
thread: 12,  step: 16000,     T:110.0,    Energy: 32.921009 kcal/mol
thread: 2,  step: 23000,     T: 37.0,    Energy: 21.948925 kcal/mol
thread: 8,  step: 17000,     T: 78.0,    Energy: 35.803139 kcal/mol
thread: 3,  step: 20000,     T: 43.0,    Energy: 36.229038 kcal/mol
thread: 5,  step: 23000,     T: 55.0,    Energy: 36.417629 kcal/mol
thread: 9,  step: 19000,     T: 86.0,    Energy: 24.389809 kcal/mol
thread: 6,  step: 20000,     T: 63.0,    Energy: 37.060513 kcal/mol
thread: 14,  step: 21000,     T:130.0,    Energy: 21.966995 kcal/mol
thread: 13,  step: 21000,     T:120.0,    Energy: 23.061022 kcal/mol
thread: 4,  step: 20000,     T: 49.0,    Energy: 21.386372 kcal/mol
thread: 1,  step: 20000,     T: 31.0,    Energy: 23.123505 kcal/mol
thread: 11,  step: 18000,     T:102.0,    Energy: -0.194567 kcal/mol
thread: 15,  step: 19000,     T:  0.0,    Energy: 29.416424 kcal/mol
thread: 8,  step: 18000,     T: 78.0,    Energy: 8.940155 kcal/mol
thread: 2,  step: 24000,     T: 37.0,    Energy: 31.523249 kcal/mol
thread: 10,  step: 19000,     T: 94.0,    Energy: 19.515909 kcal/mol
thread: 5,  step: 24000,     T: 55.0,    Energy: 26.409061 kcal/mol
thread: 6,  step: 21000,     T: 63.0,    Energy: 33.715271 kcal/mol
thread: 14,  step: 22000,     T:130.0,    Energy: 16.988424 kcal/mol
thread: 13,  step: 22000,     T:120.0,    Energy: 13.490093 kcal/mol
thread: 3,  step: 21000,     T: 43.0,    Energy: 33.156578 kcal/mol
thread: 12,  step: 17000,     T:110.0,    Energy: 29.238884 kcal/mol
thread: 0,  step: 22000,     T: 25.0,    Energy: 39.043259 kcal/mol
thread: 11,  step: 19000,     T:102.0,    Energy: 14.699087 kcal/mol
thread: 7,  step: 24000,     T: 71.0,    Energy: 36.077290 kcal/mol
thread: 1,  step: 21000,     T: 31.0,    Energy: 14.058949 kcal/mol
thread: 8,  step: 19000,     T: 78.0,    Energy: 15.153465 kcal/mol
thread: 9,  step: 20000,     T: 86.0,    Energy: 25.606724 kcal/mol
thread: 5,  step: 25000,     T: 55.0,    Energy: 30.628763 kcal/mol
thread: 6,  step: 22000,     T: 63.0,    Energy: 17.900959 kcal/mol
thread: 2,  step: 25000,     T: 37.0,    Energy: 33.728848 kcal/mol
thread: 14,  step: 23000,     T:130.0,    Energy: 9.769346 kcal/mol
thread: 15,  step: 20000,     T:  0.0,    Energy: 29.038912 kcal/mol
